Offset,L=Lcav,S11 Re,S11 Im,S21 Re,S21 Im,Z11 Re,Z11 Im,Z12 Re,Z12 Im,Rself,Xself,Gself,Bself,Re[Vcav],Im[Vcav],Re[Vrad],Im[Vrad],|rho|,arg(rho),Column1,Column2
0.6,15,-0.00146764,0.001917064,0.99887386,0.000488345,206.7753704,192.2226299,206.7755416,192.2219158,-0.000171231,0.000714115,0.002594248,-0.002411655,1.6156024,-0.87314649,1.1026838,-1.4009629,0.970820523,-23.40522773,,
0.6,15.0488,-0.001574769,0.001837897,0.99843724,0.000142586,227.4120866,143.8639645,227.4120934,143.8631169,-6.72282E-06,0.000847645,0.003140493,-0.001986707,1.6481597,-0.93555849,1.1102878,-1.4744253,0.973901275,-23.43822151,,
0.6,15.0976,-0.001691323,0.001758166,0.99833769,4.4586E-05,230.8366129,124.3558525,230.8366281,124.3549957,-1.52402E-05,0.000856764,0.003357638,-0.001808807,1.6850927,-1.0020336,1.1192757,-1.5511161,0.975654705,-23.44835591,,
0.6,15.1464,-0.001817308,0.001679226,0.99821846,-3.35888E-05,229.3140103,105.0869654,229.3140289,105.086109,-1.8617E-05,0.000856376,0.003603979,-0.00165157,1.721516,-1.0741413,1.1254321,-1.6325268,0.977194682,-23.4562441,,
0.6,15.1952,-0.00195383,0.001601632,0.99808146,-9.8405E-05,223.920911,87.11905099,223.9209294,87.118201,-1.83674E-05,0.000849988,0.003878751,-0.001509059,1.7567597,-1.1522582,1.1281406,-1.7189998,0.978675424,-23.46315979,,
0.6,15.244,-0.002101838,0.001526388,0.99792957,-0.000153283,215.7554334,71.17068542,215.7554498,71.16984561,-1.64092E-05,0.000839808,0.004180047,-0.001378845,1.7902453,-1.2368016,1.126728,-1.8107579,0.980128885,-23.46954205,,
0.6,15.2928,-0.002262186,0.00145469,0.9977639,-0.000199003,205.7362292,57.57080926,205.7362429,57.56998244,-1.37266E-05,0.000826824,0.004507637,-0.001261346,1.821304,-1.3281852,1.1204201,-1.9079585,0.981569064,-23.47566513,,
0.6,15.3416,-0.002435665,0.001387947,0.99758477,-0.000234963,194.6241638,46.37847013,194.6241747,46.3776587,-1.08757E-05,0.000811438,0.004862024,-0.001158588,1.8491439,-1.4268012,1.1083171,-2.0106179,0.98297697,-23.48122398,,
0.6,15.3904,-0.002622982,0.001327816,0.99739229,-0.00025992,183.0295489,37.46972731,183.0295572,37.46893346,-8.26635E-06,0.000793856,0.005243838,-0.001073493,1.875493,-1.5351853,1.0894162,-2.1187099,0.982958336,-23.48624484,,
0.6,15.4392,-0.00282472,0.001276232,0.99718659,-0.000272384,171.4140185,30.60904622,171.4140248,30.60827192,-6.25436E-06,0.000774299,0.005653565,-0.00100952,1.8939913,-1.6494144,1.0625707,-2.2319175,0.984239641,-23.49029788,,
0.6,15.488,-0.003041265,0.001235429,0.99696788,-0.000270795,160.1013491,25.5086444,160.1013542,25.50789129,-5.1397E-06,0.000753104,0.006091419,-0.000970506,1.9040664,-1.7698755,1.0266883,-2.3504516,0.986651178,-23.49586967,,
0.6,15.5368,-0.003272733,0.001207955,0.99673635,-0.000253534,149.2960335,21.87307753,149.2960386,21.8723468,-5.07536E-06,0.000730737,0.00655736,-0.000960674,1.908138,-1.9000389,0.98031143,-2.4732848,0.987999505,-23.50045525,,
0.6,15.5856,-0.003518863,0.001196665,0.9964922,-0.00021881,139.111282,19.42913653,139.1112881,19.4284288,-6.03245E-06,0.000707729,0.007050959,-0.000984744,1.9048403,-2.0403256,0.92205424,-2.5995919,0.988168038,-23.50393068,,
0.6,15.6344,-0.003778908,0.001204685,0.9962357,-0.000164477,129.5956279,17.94053115,129.5956357,17.93984658,-7.77279E-06,0.000684571,0.007571224,-0.00104808,1.888175,-2.1858538,0.85053667,-2.7285688,0.989477301,-23.50791532,,
0.6,15.6832,-0.004051507,0.00123535,0.99596741,-8.78885E-05,120.7566685,17.21158037,120.7566784,17.21091877,-9.89629E-06,0.000661607,0.008116246,-0.001156773,1.8568915,-2.3359887,0.76433544,-2.8587095,0.991629061,-23.51232433,,
0.6,15.732,-0.004334561,0.001292088,0.99568844,1.41078E-05,112.5780119,17.08336064,112.5780239,17.08272167,-1.19086E-05,0.000638975,0.008682803,-0.001317539,1.8138037,-2.4954402,0.66215242,-2.9877842,0.991992543,-23.51550665,,
0.6,15.7808,-0.004625119,0.001378261,0.99540083,0.00014502,105.0315291,17.42757056,105.0315425,17.42695396,-1.33546E-05,0.000616604,0.009265862,-0.001537402,1.7522474,-2.6563544,0.5429758,-3.1138478,0.993276285,-23.51911713,,
0.6,15.8296,-0.004919305,0.001496941,0.99510769,0.000308414,98.08234607,18.13963018,98.08235992,18.13903593,-1.38503E-05,0.000594247,0.009858342,-0.00182317,1.6711005,-2.8166597,0.4061209,-3.2339032,0.995183102,-23.5224372,,
0.6,15.8784,-0.005212292,0.001650651,0.99481336,0.000507544,91.69270865,19.13396927,91.6927218,19.13339773,-1.31525E-05,0.000571538,0.01045093,-0.002180782,1.5716313,-2.9777896,0.25143326,-3.3451173,0.996278446,-23.52588734,,
0.6,15.9272,-0.005498229,0.001841239,0.9945247,0.000748955,85.81910998,20.37505566,85.81912174,20.37450953,-1.17628E-05,0.000546129,0.011030675,-0.002618817,1.4511512,-3.1339312,0.079212819,-3.4440165,0.997488318,-23.5286822,,
0.6,15.976,-0.005771109,0.002069044,0.99424663,0.001028608,80.4251765,21.75204606,80.42518564,21.75152585,-9.14004E-06,0.000520209,0.011586407,-0.003133621,1.3101151,-3.282092,-0.10908137,-3.5272469,0.998591315,-23.53176622,,
0.6,16.0248,-0.006023731,0.002332992,0.99398744,0.001348633,75.47389829,23.23891551,75.47390412,23.23842334,-5.82745E-06,0.000492174,0.012102286,-0.003726295,1.1494835,-3.4193095,-0.31123026,-3.5912935,0.999279826,-23.53433157,,
0.6,16.0736,-0.006249288,0.002630574,0.99375492,0.001707407,70.92605575,24.79899377,70.92605807,24.79853219,-2.31705E-06,0.000461581,0.012563351,-0.00439264,0.96978517,-3.5389485,-0.52437442,-3.6333966,1.000441787,-23.53694137,,
0.6,16.1224,-0.006441404,2.96E-03,0.99355652,0.002100786,66.74640315,26.39976397,66.74640229,26.39933559,8.54387E-07,0.000428385,0.012955417,-0.005124088,0.77415162,-3.6390703,-0.74481784,-3.6512271,1.001590597,-23.53933202,,
0.6,16.1712,-0.00659734,3.31E-03,0.99342138,0.002205816,64.08177587,27.03135843,64.08178553,27.03080682,-9.66414E-06,0.000551611,0.013247867,-0.00558818,0.56463635,-3.7123529,-0.96986565,-3.6394402,1.003037365,-23.57005136,,
0.6,16.22,-0.006707727,3.68E-03,0.99330948,0.002595085,60.7233156,28.65698351,60.7233245,28.65644296,-8.89583E-06,0.000540555,0.01346859,-0.006356073,0.34884066,-3.7658957,-1.1909927,-3.6050875,1.003888619,-23.57401084,,
0.6,16.2688,-0.006772978,0.004051887,0.99324328,0.002992547,57.64803579,30.27588679,57.6480442,30.27535713,-8.40923E-06,0.000529661,0.013596576,-0.007140593,0.12909804,-3.7928421,-1.4057969,-3.5454688,1.004997002,-23.57802462,,
0.6,16.3176,-0.006792571,0.004426958,0.9932235,0.003389695,54.83432691,31.876373,54.83433521,31.87585437,-8.30456E-06,0.000518623,0.013630636,-0.007923651,-0.089284185,-3.7936714,-1.6095113,-3.4626126,1.00624092,-23.58200634,,
0.6,16.3664,-0.006768499,0.004795704,0.99324713,0.003778729,52.24607734,33.44862377,52.24608541,33.44811529,-8.07274E-06,0.000508479,0.013575948,-0.008691367,-0.30317718,-3.7706441,-1.7996063,-3.3586567,1.007293081,-23.58595438,,
0.6,16.4152,-0.006704454,0.005150699,0.99330008,0.004446585,48.81975275,35.31220785,48.81975514,35.31185579,-2.39079E-06,0.000352055,0.013447873,-0.009726992,-0.50968063,-3.727618,-1.9740797,-3.239598,1.008339548,-23.57061159,,
0.6,16.464,-0.006603724,0.005484817,0.9933984,0.004792583,46.66093722,36.70444676,46.6609384,36.70410064,-1.182E-06,0.000346116,0.013239271,-0.010414182,-0.70266019,-3.6621658,-2.1284779,-3.1043503,1.00938479,-23.57488617,,
0.6,16.5128,-0.006471736,0.005795276,0.99353162,0.005083343,44.77825285,38.06513067,44.77825466,38.0647747,-1.80471E-06,0.000355965,0.012964101,-0.01102043,-0.87983462,-3.5795802,-2.2616296,-2.9590984,1.010386842,-23.58142738,,
0.6,16.5616,-0.006314288,0.006073276,0.99369746,0.005143406,43.76983126,39.35724541,43.76983735,39.35678048,-6.09018E-06,0.000464929,0.012632882,-0.011359182,-1.0398051,-3.4822706,-2.3737996,-2.8063432,1.011408919,-23.6012452,,
0.6,16.6104,-0.00613892,0.006324846,0.9938444,0.00542991,41.99314617,40.62779807,41.99313803,40.62735059,8.13994E-06,0.000447476,0.012300256,-0.011900202,-1.1850102,-3.3770155,-2.4681389,-2.6523937,1.012353702,-23.60297959,,
0.6,16.6592,-0.005949348,0.006546537,0.99406611,0.005671369,40.40776047,42.06007093,40.40776839,42.05963335,-7.92022E-06,0.000437577,0.011878347,-0.012363933,-1.3124436,-3.2645791,-2.5435621,-2.4987452,1.013377852,-23.60786322,,
0.6,16.708,-0.005751432,0.006739604,0.99426659,0.005894172,38.89723131,43.33871671,38.8972405,43.338294,-9.1894E-06,0.000422709,0.011470042,-0.012779622,-1.4238516,-3.1481749,-2.6023563,-2.3474895,1.014330074,-23.61133434,,
0.6,16.7568,-0.005551354,0.006904,0.99447142,0.006089603,37.49719909,44.56009027,37.49721065,44.55968308,-1.15526E-05,0.000407189,0.011055886,-0.013138224,-1.519183,-3.0308948,-2.6457916,-2.2015506,1.01523074,-23.61480183,,
0.6,16.8056,-0.005350748,0.007042943,0.99467751,0.006258385,36.19754172,45.73384772,36.19755601,45.73345545,-1.42827E-05,0.000392268,0.010640669,-0.013443851,-1.6001625,-2.913647,-2.6759772,-2.0612513,1.016148198,-23.61826161,,
0.6,16.8544,-0.005151617,0.007158332,0.99488318,0.006393668,35.01893325,46.87711059,35.01895079,46.87672827,-1.75443E-05,0.000382318,0.01022823,-0.013691615,-1.6681093,-2.798313,-2.6946939,-1.9277254,1.017020477,-23.62119663,,
0.6,16.9032,-0.0049589,0.007252833,0.99502218,0.006531609,33.91297988,47.7386334,33.91297055,47.73827278,9.33009E-06,0.000360619,0.009889954,-0.013921792,-1.7261343,-2.6860654,-2.7054195,-1.801287,1.01795847,-23.61821249,,
0.6,16.952,-0.004770584,0.007328148,0.99529395,0.006659675,32.69707511,49.00016632,32.69710749,48.99983211,-3.23775E-05,0.000334215,0.009422568,-0.014120646,-1.771671,-2.5812646,-2.7070027,-1.6865506,1.018727973,-23.61169428,,
0.6,17,-0.004691374,0.007397211,0.99522728,0.006908217,31.66736433,48.62259282,31.66732371,48.62234831,4.0615E-05,0.000244517,0.009405338,-0.014441057,-1.8131546,-2.5359225,-2.7160831,-1.6151803,1.013668186,-23.69688919,,
0.7375,15,-0.002139294,0.000471481,0.99797353,-0.001038302,235.1884262,-32.06887644,235.1884832,-32.06963125,-5.69786E-05,0.000754806,0.004174295,0.000569195,1.979945,-1.0707967,1.3507061,-1.7177225,0.970776624,-23.41530174,,
0.7375,15.0488,-0.002294781,0.00034608,0.99771296,-0.00123013,209.9201522,-40.59963142,209.9201566,-40.60041952,-4.49169E-06,0.000788098,0.004591945,0.000888123,2.0243371,-1.1456192,1.3631616,-1.8059414,0.972759332,-23.44722092,,
0.7375,15.0976,-0.002472061,0.000236285,0.99769596,-0.001320914,198.6073511,-45.21592712,198.6074357,-45.21670559,-8.46096E-05,0.000778468,0.004786937,0.001089836,2.0703505,-1.2271596,1.3750842,-1.8993419,0.974298349,-23.43973047,,
0.7375,15.1464,-0.002659958,0.000122448,0.99750186,-0.001414288,181.9271871,-45.68831955,181.9272686,-45.68908779,-8.14926E-05,0.000768243,0.005170588,0.001298538,2.115333,-1.3156898,1.3827144,-1.9989217,0.975687205,-23.44653415,,
0.7375,15.1952,-0.002864239,1.06406E-05,0.99729725,-0.001512403,166.9450436,-45.16994622,166.945125,-45.17070762,-8.13177E-05,0.000761398,0.005581383,0.001510167,2.1589102,-1.4116242,1.3861905,-2.104809,0.97705489,-23.45274459,,
0.7375,15.244,-0.003085997,-9.76782E-05,0.99707615,-0.001609658,153.4672996,-43.74017694,153.4673813,-43.7409328,-8.16383E-05,0.000755867,0.006026481,0.001717654,2.2003473,-1.5154736,1.3846552,-2.2172521,0.978423466,-23.45871841,,
0.7375,15.2928,-0.003326356,-0.000200724,0.99683445,-0.001701859,141.3540904,-41.57279864,141.3541713,-41.57354909,-8.09596E-05,0.000750446,0.006511208,0.001915006,2.2387979,-1.627738,1.3771173,-2.3363802,0.979785729,-23.46454444,,
