        Run ID                curve2_Int_e-field (f=9) (1)_1/real
----------------------------------------------------------------------

                       2                      -1.4009629
                       3                      -2.3851926
                       4                      -3.5650258
                       5                      -2.9904601
                       6                      -1.6151803
                       7                        -2.02652
                       8                      -3.4398258
                       9                      -5.1438812
                      10                      -4.3817551
                      11                      -2.4695715
                      12                      -2.6063132
                      13                      -4.3891936
                      14                      -6.6217068
                      15                       -5.890552
                      16                       -3.437699
                      17                      -3.1684139
                      18                       -5.289462
                      19                      -7.9949728
                      20                      -7.3615983
                      21                      -4.4867248
                      22                       -3.671861
                      23                      -6.0647181
                      24                      -9.2185366
                      25                      -8.9311641
                      26                      -5.7437633
                      27                      -4.1499586
                      28                      -6.7959818
                      29                       -10.34019
                      30                      -10.439469
                      31                      -7.0173614
                      32                      -4.5875267
                      33                      -7.4104653
                      34                      -11.275161
                      35                      -11.932757
                      36                      -8.4011636
                      37                      -5.0103507
                      38                      -8.0021838
                      39                      -12.137117
                      40                      -13.295274
                      41                       -9.940155
                      42                      -5.3551541
                      43                      -8.4390025
                      44                      -12.756004
                      45                      -14.576716
                      46                      -11.480609
                      47                      -5.6724452
                      48                       -8.838407
                      49                      -13.282719
                      50                      -15.662281
                      51                      -13.016202
                      52                      -5.9675329
                      53                       -9.186816
                      54                      -13.717926
                      55                      -16.589396
                      56                      -14.484955
                      57                      -6.2336188
                      58                       -9.481119
                      59                      -14.048412
                      60                      -17.327173
                      61                      -15.796764
                      62                      -6.4806766
                      63                      -9.7415652
                      64                      -14.304166
                      65                      -17.879559
                      66                      -17.070473
                      67                      -6.6822972
                      68                      -9.9243228
                      69                      -14.444013
                      70                      -18.282288
                      71                      -18.108522
                      72                      -6.8243998
                      73                      -10.041929
                      74                      -14.509558
                      75                      -18.535993
                      76                      -18.978965
                      77                      -7.0271431
                      78                      -10.254266
                      79                      -14.703263
                      80                       -18.84145
                      81                      -19.607363
                      82                      -7.1331535
                      83                       -10.34424
                      84                      -14.744958
                      85                      -18.959071
                      86                      -20.179765

