        Run ID                curve2_Int_e-field (f=9) (1)_1/real
----------------------------------------------------------------------
                       1                      -2.7713839
                       2                      -3.0997462
                       3                      -3.4236424
                       4                      -3.7368471
                       5                      -4.0418787
                       6                      -4.3362297
                       7                      -4.6240181
                       8                      -4.9023645
                       9                      -5.1724046
                      10                      -3.3614028
                      11                      -3.7461064
                      12                      -4.1299933
                      13                      -4.5015579
                      14                      -4.8634287
                      15                      -5.2150058
                      16                      -5.5536607
                      17                      -5.8812499
                      18                      -6.1959907
                      19                       -4.017693
                      20                      -4.4757366
                      21                      -4.9322528
                      22                      -5.3743931
                      23                      -5.8022746
                      24                      -6.2174446
                      25                      -6.6154445
                      26                      -6.9981943
                      27                      -7.3660462
                      28                       -4.664181
                      29                      -5.2004961
                      30                      -5.7326475
                      31                      -6.2477694
                      32                      -6.7461343
                      33                      -7.2282709
                      34                      -7.6914283
                      35                      -8.1358992
                      36                      -8.5625943
                      37                      -5.1051734
                      38                      -5.7117802
                      39                       -6.307141
                      40                      -6.8853589
                      41                      -7.4473272
                      42                      -7.9923615
                      43                      -8.5191659
                      44                      -9.0268848
                      45                      -9.5154004
                      46                      -5.1125499
                      47                      -5.7543907
                      48                      -6.3770458
                      49                      -6.9870248
                      50                      -7.5863893
                      51                      -8.1732298
                      52                      -8.7480077
                      53                      -9.3081754
                      54                      -9.8510468
                      55                      -4.6102482
                      56                      -5.2304724
                      57                      -5.8274544
                      58                      -6.4202045
                      59                      -7.0069127
                      60                      -7.5958418
                      61                      -8.1807515
                      62                      -8.7569382
                      63                       -9.330229
                      64                      -3.7819249
                      65                       -4.325144
                      66                      -4.8469258
                      67                      -5.3735677
                      68                      -5.9074282
                      69                      -6.4434726
                      70                       -6.983237
                      71                      -7.5334748
                      72                      -8.0875324
                      73                      -2.9031016
                      74                      -3.3396229
                      75                      -3.7616539
                      76                      -4.1931149
                      77                      -4.6369358
                      78                      -5.0920315
                      79                      -5.5585324
                      80                      -6.0401963
                      81                      -6.5329502
                      82                      -2.1327716
                      83                      -2.4721675
                      84                      -2.7989441
                      85                      -3.1359658
                      86                       -3.486552
                      87                      -3.8508642
                      88                      -4.2299953
                      89                      -4.6269189
                      90                       -5.039172
                      91                      -1.5373496
                      92                      -1.7904239
                      93                      -2.0360167
                      94                      -2.2917857
                      95                      -2.5606735
                      96                      -2.8430059
                      97                       -3.140661
                      98                      -3.4553503
                      99                      -3.7862145

