        Run ID                curve2_Int_e-field (f=9) (1)/real
----------------------------------------------------------------------
                       1                       1.4899408
                       2                       1.6602374
                       3                        1.836538
                       4                       2.0107313
                       5                       2.1816931
                       6                       2.3480956
                       7                       2.5128624
                       8                       2.6745415
                       9                       2.8321207
                      10                       1.3308798
                      11                       1.5073409
                      12                       1.6736217
                      13                        1.834719
                      14                       1.9968712
                      15                       2.1561413
                      16                       2.3139074
                      17                       2.4685641
                      18                       2.6212051
                      19                      0.98842587
                      20                        1.132333
                      21                       1.2677535
                      22                       1.4030455
                      23                       1.5394256
                      24                       1.6745744
                      25                       1.8122375
                      26                       1.9495896
                      27                       2.0870666
                      28                      0.34322674
                      29                      0.43122705
                      30                      0.50675318
                      31                      0.58696781
                      32                      0.67366698
                      33                      0.76407789
                      34                      0.86271424
                      35                      0.96659463
                      36                       1.0752242
                      37                     -0.63969954
                      38                     -0.64671174
                      39                     -0.66725963
                      40                      -0.6757373
                      41                     -0.66990734
                      42                     -0.65274522
                      43                     -0.61902878
                      44                     -0.57204577
                      45                     -0.51445614
                      46                      -1.8281225
                      47                       -1.966653
                      48                      -2.1145297
                      49                      -2.2431731
                      50                      -2.3501202
                      51                      -2.4378787
                      52                       -2.500285
                      53                      -2.5405194
                      54                      -2.5614499
                      55                      -2.9178257
                      56                      -3.1976976
                      57                       -3.478628
                      58                      -3.7365755
                      59                      -3.9695591
                      60                      -4.1871354
                      61                      -4.3694418
                      62                      -4.5235571
                      63                      -4.6523947
                      64                      -3.6416435
                      65                      -4.0389481
                      66                      -4.4285113
                      67                      -4.7974206
                      68                      -5.1480082
                      69                      -5.4752782
                      70                       -5.774844
                      71                       -6.046305
                      72                      -6.2921946
                      73                      -3.9594028
                      74                      -4.4270485
                      75                       -4.881724
                      76                      -5.3205043
                      77                      -5.7439651
                      78                       -6.149782
                      79                      -6.5365765
                      80                      -6.9012065
                      81                      -7.2443786
                      82                      -3.9855959
                      83                      -4.4801006
                      84                      -4.9594278
                      85                       -5.427627
                      86                      -5.8858931
                      87                       -6.332446
                      88                      -6.7658744
                      89                      -7.1853987
                      90                      -7.5896095
                      91                       -3.854641
                      92                       -4.347341
                      93                       -4.824791
                      94                      -5.2948339
                      95                      -5.7592363
                      96                      -6.2166761
                      97                       -6.665844
                      98                       -7.107601
                      99                      -7.5398822

