        Run ID                S1,1 (Re)/
----------------------------------------------------------------------
                       1                   -0.0049211628
                       2                   -0.0062017405
                       3                   -0.0075950887
                       4                   -0.0090929645
                       5                    -0.010697996
                       6                    -0.012396946
                       7                     -0.01419338
                       8                    -0.016072665
                       9                    -0.018031144
                      10                   -0.0065758598
                      11                   -0.0082089647
                      12                    -0.010021673
                      13                    -0.011976754
                      14                    -0.014067213
                      15                    -0.016283281
                      16                     -0.01860607
                      17                    -0.021031546
                      18                     -0.02354344
                      19                   -0.0086408566
                      20                    -0.010773687
                      21                    -0.013142166
                      22                     -0.01568881
                      23                     -0.01840195
                      24                    -0.021274003
                      25                    -0.024270078
                      26                    -0.027382667
                      27                    -0.030603239
                      28                    -0.011074841
                      29                    -0.013808376
                      30                     -0.01683811
                      31                    -0.020090927
                      32                    -0.023551891
                      33                    -0.027203141
                      34                    -0.031011128
                      35                     -0.03495464
                      36                    -0.039026145
                      37                    -0.013450562
                      38                    -0.016809477
                      39                    -0.020517095
                      40                    -0.024501763
                      41                    -0.028747061
                      42                    -0.033225374
                      43                    -0.037904797
                      44                    -0.042753397
                      45                     -0.04776272
                      46                    -0.015032165
                      47                    -0.018874763
                      48                    -0.023099182
                      49                    -0.027659755
                      50                    -0.032544135
                      51                    -0.037718411
                      52                    -0.043157163
                      53                    -0.048820172
                      54                    -0.054693324
                      55                    -0.015233217
                      56                    -0.019247101
                      57                     -0.02364934
                      58                    -0.028436955
                      59                    -0.033606236
                      60                    -0.039129552
                      61                    -0.044989352
                      62                    -0.051143808
                      63                    -0.057582868
                      64                    -0.014154064
                      65                    -0.017992683
                      66                    -0.022202356
                      67                    -0.026817901
                      68                    -0.031846646
                      69                    -0.037270233
                      70                    -0.043087653
                      71                    -0.049267404
                      72                    -0.055798049
                      73                    -0.012422345
                      74                    -0.015851705
                      75                    -0.019626679
                      76                    -0.023797044
                      77                    -0.028377793
                      78                    -0.033359291
                      79                    -0.038753327
                      80                    -0.044542319
                      81                    -0.050720594
                      82                     -0.01057032
                      83                    -0.013542099
                      84                    -0.016812726
                      85                    -0.020442457
                      86                    -0.024451727
                      87                    -0.028839536
                      88                    -0.033625069
                      89                    -0.038801783
                      90                    -0.044372797
                      91                   -0.0089421388
                      92                    -0.011469953
                      93                    -0.014261721
                      94                    -0.017371411
                      95                    -0.020819944
                      96                    -0.024609683
                      97                     -0.02876564
                      98                     -0.03328237
                      99                    -0.038172252

        Run ID                S1,1 (Im)/
----------------------------------------------------------------------
                       1                   -0.0024579091
                       2                   -0.0043232824
                       3                   -0.0063756683
                       4                   -0.0086006987
                       5                    -0.010990397
                       6                    -0.013541926
                       7                    -0.016241015
                       8                    -0.019084386
                       9                    -0.022054727
                      10                   -0.0029488136
                      11                   -0.0048827437
                      12                   -0.0070431028
                      13                   -0.0093926525
                      14                    -0.011924921
                      15                    -0.014624458
                      16                    -0.017487244
                      17                     -0.02049541
                      18                    -0.023646169
                      19                   -0.0030014896
                      20                   -0.0049627823
                      21                   -0.0071462352
                      22                   -0.0095250826
                      23                    -0.012096911
                      24                    -0.014842525
                      25                    -0.017764063
                      26                    -0.020839853
                      27                    -0.024069417
                      28                   -0.0023069528
                      29                   -0.0041288282
                      30                   -0.0061518745
                      31                    -0.008370877
                      32                    -0.010788136
                      33                    -0.013384084
                      34                    -0.016170335
                      35                    -0.019124889
                      36                    -0.022247581
                      37                  -0.00051352867
                      38                    -0.001944003
                      39                   -0.0035281078
                      40                   -0.0052965473
                      41                   -0.0072598321
                      42                    -0.009402994
                      43                    -0.011749879
                      44                    -0.014282949
                      45                    -0.016998812
                      46                    0.0023506491
                      47                     0.001596485
                      48                   0.00075473904
                      49                  -0.00023847282
                      50                    -0.001403595
                      51                   -0.0027343846
                      52                    -0.004270353
                      53                   -0.0060037934
                      54                   -0.0079347678
                      55                    0.0056379116
                      56                    0.0057249548
                      57                    0.0057995142
                      58                    0.0057843379
                      59                    0.0056564526
                      60                    0.0053929725
                      61                     0.004964897
                      62                    0.0043586414
                      63                     0.003557364
                      64                     0.008450534
                      65                    0.0093347978
                      66                     0.010271375
                      67                     0.011198072
                      68                     0.012090649
                      69                     0.012922716
                      70                     0.013654552
                      71                     0.014263557
                      72                     0.014730168
                      73                     0.010336061
                      74                     0.011811979
                      75                     0.013388982
                      76                     0.015032416
                      77                     0.016724003
                      78                     0.018436613
                      79                     0.020133013
                      80                     0.021788054
                      81                     0.023377921
                      82                     0.011354978
                      83                     0.013189122
                      84                     0.015158729
                      85                     0.017253453
                      86                     0.019461996
                      87                     0.021761073
                      88                     0.024120523
                      89                     0.026516744
                      90                     0.028925208
                      91                     0.011764217
                      92                     0.013781243
                      93                     0.015952669
                      94                     0.018287072
                      95                     0.020779369
                      96                     0.023411528
                      97                     0.026160266
                      98                     0.029007977
                      99                     0.031932608

